term,category
Gender-nonconforming people,ProblematicLCSH 
God (Islam),ProblematicLCSH 
"Hand-to-hand fighting,Problematic LCSH 
Hearing impaired""",ProblematicLCSH 
Hispanic Americans,ProblematicLCSH 
Homeless persons,ProblematicLCSH 
Husband and wife,ProblematicLCSH 
Illegal immigration,ProblematicLCSH 
Illegitimacy,ProblematicLCSH 
Illegitimate children,ProblematicLCSH 
Indian cooking,ProblematicLCSH 
Indians of North America,ProblematicLCSH 
Inmates of institutions,ProblematicLCSH 
Invalids,ProblematicLCSH 
Jewish question,ProblematicLCSH 
Juvenile delinquents,ProblematicLCSH 
Kings and rulers,ProblematicLCSH 
Landlord and tenant,ProblematicLCSH 
"Lebanon--History--Israeli intervention,Problematic LCSH 
Leprosy""",ProblematicLCSH 
Leprosy,ProblematicLCSH 
Mogul Empire,ProblematicLCSH 
Mongoloid race,ProblematicLCSH 
Multiple personality disorder,ProblematicLCSH 
"Mythology,Problematic LCSH 
Navajo""",ProblematicLCSH 
Obsession,ProblematicLCSH 
Obsession (Psychology),ProblematicLCSH 
Oriental literature,ProblematicLCSH 
Orientalism,ProblematicLCSH 
Pacifists,ProblematicLCSH 
Palestinian Arabs,ProblematicLCSH 
Parolees,ProblematicLCSH 
People with mental disabilities,ProblematicLCSH 
People with social disabilities,ProblematicLCSH 
Poor,ProblematicLCSH 
Popular music--South Korea--2011-2020,ProblematicLCSH 
Pregnant women,ProblematicLCSH 
Primitive art,ProblematicLCSH 
Prisoners,ProblematicLCSH 
Problem children,ProblematicLCSH 
Prostitution,ProblematicLCSH 
Psychic trauma,ProblematicLCSH 
Race,ProblematicLCSH 
Race relations,ProblematicLCSH 
Race riots,ProblematicLCSH 
Racially mixed people,ProblematicLCSH 
Rasatfarian,ProblematicLCSH 
Schizophrenics,ProblematicLCSH 
Sex role,ProblematicLCSH 
Sexual minorities,ProblematicLCSH 
Sexual reorientation programs,ProblematicLCSH 
Social disabilities,ProblematicLCSH 
Substance abuse,ProblematicLCSH 
Tenth of Muḥarram,ProblematicLCSH 
Theology,ProblematicLCSH 
Tramps,ProblematicLCSH 
Triangles (Interpersonal relations),ProblematicLCSH 
Ultra-Orthodox,ProblematicLCSH 
Unskilled labor,ProblematicLCSH 
Victims,ProblematicLCSH 
Word recognition,ProblematicLCSH 
World music,ProblematicLCSH 
color blind,RaceEuphemisms
colored,RaceEuphemisms
coloured,RaceEuphemisms
race relations,RaceEuphemisms
race situation,RaceEuphemisms
race-based,RaceEuphemisms
racial,RaceEuphemisms
racism,RaceEuphemisms
riot,RaceEuphemisms
troubles,RaceEuphemisms
unruly,RaceEuphemisms
aboriginal,RaceTerms
aboriginals,RaceTerms
aborigines,RaceTerms
afro-american,RaceTerms
aliens,RaceTerms
arab,RaceTerms
arabs,RaceTerms
asians,RaceTerms
asiatic,RaceTerms
blacks,RaceTerms
bushman,RaceTerms
bushmen,RaceTerms
bushwoman,RaceTerms
chink,RaceTerms
civilized,RaceTerms
coolie,RaceTerms
coolies,RaceTerms
creole,RaceTerms
creoles,RaceTerms
ethnic,RaceTerms
exotic,RaceTerms
gook,RaceTerms
gypsies,RaceTerms
gypsy,RaceTerms
hispanics,RaceTerms
illegal alien,RaceTerms
illegal aliens,RaceTerms
illegal immigrant,RaceTerms
illegal immigrants,RaceTerms
illegals,RaceTerms
indian,RaceTerms
indians,RaceTerms
japs,RaceTerms
mammy,RaceTerms
mulatto,RaceTerms
mulattoes,RaceTerms
mulattos,RaceTerms
native americans,RaceTerms
natives,RaceTerms
negroes,RaceTerms
negros,RaceTerms
oriental,RaceTerms
primitive people,RaceTerms
primitives,RaceTerms
pygmies,RaceTerms
pygmy,RaceTerms
sambo,RaceTerms
savages,RaceTerms
segregated,RaceTerms
squaw,RaceTerms
squaws,RaceTerms
uncivilized,RaceTerms
abolition,SlaveryTerms
abolitionist,SlaveryTerms
antislavery,SlaveryTerms
anti-slavery,SlaveryTerms
bill of sale,SlaveryTerms
bills of sale,SlaveryTerms
enslaved,SlaveryTerms
freed slave,SlaveryTerms
freed slaves,SlaveryTerms
freedman,SlaveryTerms
freedmen,SlaveryTerms
fugitive slave,SlaveryTerms
hired out,SlaveryTerms
hiring out,SlaveryTerms
manumission,SlaveryTerms
manumitted,SlaveryTerms
overseer,SlaveryTerms
plantation,SlaveryTerms
runaway slave,SlaveryTerms
runaway slaves,SlaveryTerms
slave,SlaveryTerms
slave holder,SlaveryTerms
slave master,SlaveryTerms
slave owner,SlaveryTerms
slave revolt,SlaveryTerms
slaveholder,SlaveryTerms
slavery,SlaveryTerms
slaves,SlaveryTerms
lamenite,RaceTerms
